ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
472633,0.535,0.000,1.554,0.000,<__array_function__ internals>:2(empty_like)
945250,0.515,0.000,0.828,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/_sanunit.py:404(components)
157529,0.488,0.000,213.644,0.001,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/scipy/integrate/_ivp/base.py:159(step)
472630,0.458,0.000,5.778,0.000,<__array_function__ internals>:2(zeros_like)
472648,0.433,0.000,1.175,0.000,<__array_function__ internals>:2(copyto)
39093,0.412,0.000,1.910,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/basic.py:1867(_aresame)
157542,0.384,0.000,2.461,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/scipy/integrate/_ivp/common.py:59(norm)
157539,0.357,0.000,4.134,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/scipy/integrate/_ivp/rk.py:108(_estimate_error_norm)
945307,0.314,0.000,0.314,0.000,/Users/yalinli_cabbi/OneDrive/Coding/tmo/thermosteam/utils/decorators/thermo_user.py:28(chemicals)
945248,0.302,0.000,0.302,0.000,/Users/yalinli_cabbi/OneDrive/Coding/bst/biosteam/_system.py:986(units)
634407/263226,0.298,0.000,0.381,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/basic.py:2001(_preorder_traversal)
77775/76778,0.210,0.000,0.706,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/expr.py:143(__eq__)
157529,0.196,0.000,0.971,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1281(searchsorted)
965715/965631,0.185,0.000,0.185,0.000,{built-in method builtins.len}
157568,0.180,0.000,0.180,0.000,{method 'ravel' of 'numpy.ndarray' objects}
157529,0.177,0.000,1.508,0.000,<__array_function__ internals>:2(searchsorted)
787749,0.148,0.000,0.148,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/numpy/core/multiarray.py:716(dot)
472619,0.140,0.000,0.140,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/sanunits/_clarifier.py:337(ODE)
669350/668714,0.139,0.000,0.143,0.000,{built-in method builtins.isinstance}
157595,0.137,0.000,0.775,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/numpy/core/fromnumeric.py:52(_wrapfunc)
157542,0.136,0.000,2.077,0.000,<__array_function__ internals>:2(norm)
327586/327579,0.130,0.000,0.152,0.000,{built-in method builtins.getattr}
39758,0.109,0.000,0.205,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/numbers.py:1383(__eq__)
472630,0.103,0.000,0.103,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/numpy/core/numeric.py:71(_zeros_like_dispatcher)
472648,0.102,0.000,0.102,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/numpy/core/multiarray.py:1054(copyto)
77120,0.092,0.000,0.092,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/symbol.py:323(<dictcomp>)
124373,0.091,0.000,0.244,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/sympify.py:486(_sympify)
45268/16620,0.090,0.000,2.483,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/cache.py:69(wrapper)
77120,0.087,0.000,0.305,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/symbol.py:309(_hashable_content)
472633,0.084,0.000,0.084,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/numpy/core/multiarray.py:75(empty_like)
239214,0.084,0.000,0.531,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/basic.py:2045(__next__)
315167,0.080,0.000,0.080,0.000,{built-in method builtins.issubclass}
133390/133315,0.077,0.000,0.194,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/sympify.py:92(sympify)
77120,0.072,0.000,0.177,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/symbol.py:321(assumptions0)
239293/239289,0.069,0.000,0.448,0.000,{built-in method builtins.next}
8053/1098,0.067,0.000,2.362,0.002,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/basic.py:1029(fallback)
234131,0.059,0.000,0.060,0.000,{built-in method builtins.hasattr}
97360,0.058,0.000,0.091,0.000,<frozen importlib._bootstrap>:389(parent)
157542,0.055,0.000,0.079,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/numpy/linalg/linalg.py:112(isComplexType)
10576/1209,0.043,0.000,2.404,0.002,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/basic.py:957(_subs)
70716,0.039,0.000,0.040,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/basic.py:1997(__init__)
79729/79666,0.039,0.000,0.080,0.000,{built-in method builtins.sorted}
72594,0.038,0.000,0.720,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/basic.py:362(__ne__)
190611,0.036,0.000,0.036,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/basic.py:712(args)
34358,0.033,0.000,0.078,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/numbers.py:1478(__hash__)
109391/104951,0.033,0.000,0.040,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/expr.py:125(__hash__)
97369,0.032,0.000,0.032,0.000,{method 'rpartition' of 'str' objects}
3290/3029,0.031,0.000,0.059,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/compatibility.py:314(default_sort_key)
157542,0.028,0.000,0.028,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/numpy/linalg/linalg.py:2358(_norm_dispatcher)
157529,0.028,0.000,0.028,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1277(_searchsorted_dispatcher)
34764,0.027,0.000,0.045,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/numbers.py:807(__hash__)
584,0.025,0.000,0.057,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/facts.py:499(deduce_all_facts)
703/694,0.024,0.000,0.220,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/expr.py:1188(as_terms)
3656,0.024,0.000,0.024,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/mul.py:1597(_eval_subs)
3505/155,0.023,0.000,0.453,0.003,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/printing/printer.py:293(_print)
160167,0.022,0.000,0.022,0.000,{method 'items' of 'dict' objects}
6858,0.020,0.000,0.026,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/numbers.py:151(mpf_norm)
123457,0.018,0.000,0.018,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/core.py:71(<lambda>)
58116,0.015,0.000,0.015,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/expr.py:134(_hashable_content)
2070,0.015,0.000,0.015,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/add.py:873(_eval_subs)
183,0.014,0.000,2.619,0.014,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/basic.py:764(subs)
9849/90,0.014,0.000,0.023,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/chemicals/utils.py:147(hash_any_primitive)
1498,0.014,0.000,0.145,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/expr.py:360(__complex__)
1298,0.013,0.000,0.042,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/printing/precedence.py:79(precedence_Float)
45329,0.012,0.000,0.018,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/facts.py:533(<genexpr>)
5360,0.011,0.000,0.041,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/numbers.py:1191(_new)
3531/1922,0.010,0.000,0.073,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/compatibility.py:498(ordered)
6042,0.010,0.000,0.060,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/printing/precedence.py:118(precedence)
6864/6718,0.010,0.000,0.077,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/assumptions.py:452(getit)
11732,0.010,0.000,0.016,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/numbers.py:2236(__eq__)
1734,0.009,0.000,0.034,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/numbers.py:1416(_Frel)
70716,0.009,0.000,0.009,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/basic.py:2048(__iter__)
51170,0.009,0.000,0.009,0.000,{method 'get' of 'dict' objects}
1353/1338,0.009,0.000,0.029,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/numbers.py:1031(__new__)
1498,0.009,0.000,0.058,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/evalf.py:1425(evalf)
5785/5782,0.008,0.000,0.031,0.000,<frozen importlib._bootstrap>:1017(_handle_fromlist)
41332/36216,0.008,0.000,0.017,0.000,{built-in method builtins.hash}
144/139,0.008,0.000,0.074,0.001,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/mul.py:178(flatten)
6967,0.008,0.000,0.011,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/basic.py:113(__new__)
703/694,0.008,0.000,0.247,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/expr.py:1134(as_ordered_terms)
690/140,0.007,0.000,0.448,0.003,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/printing/str.py:48(_print_Add)
21626,0.007,0.000,0.009,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/numbers.py:2282(__hash__)
17854/17301,0.007,0.000,0.026,0.000,{built-in method builtins.all}
1596/1446,0.007,0.000,0.025,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/compatibility.py:476(_nodes)
1161/811,0.007,0.000,0.026,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/basic.py:189(compare)
13462,0.006,0.000,0.006,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/facts.py:482(_tell)
14117,0.006,0.000,0.077,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/numbers.py:1413(__ne__)
2257/5,0.006,0.000,0.010,0.002,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/utilities/lambdify.py:1214(_imp_namespace)
2282,0.006,0.000,0.026,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/numbers.py:1288(__neg__)
218/158,0.006,0.000,0.170,0.001,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/printing/str.py:248(_print_Mul)
279/263,0.005,0.000,0.124,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/operations.py:46(__new__)
902,0.005,0.000,0.018,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/mpmath/libmp/libmpf.py:1205(to_str)
1498,0.005,0.000,0.009,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/evalf.py:1332(evalf)
3156,0.005,0.000,0.043,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/basic.py:906(<listcomp>)
1498,0.005,0.000,0.058,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/expr.py:1916(as_real_imag)
10896,0.005,0.000,0.019,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/numbers.py:2243(__ne__)
902,0.005,0.000,0.012,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/mpmath/libmp/libmpf.py:1153(to_digits_exp)
1895,0.005,0.000,0.005,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/mpmath/libmp/libmpf.py:850(gmpy_mpf_mul)
653,0.004,0.000,0.021,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/power.py:791(_eval_subs)
3231,0.004,0.000,0.007,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/symbol.py:229(_sanitize)
218/158,0.004,0.000,0.199,0.001,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/printing/codeprinter.py:454(_print_Mul)
1469,0.004,0.000,0.008,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/operations.py:94(_from_args)
133,0.004,0.000,0.035,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/add.py:159(flatten)
