t,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,TSS_in
4.5,12,17.5,28.6,66.2,332,332,332,332,332,5770,3198
4.55,12,17.5,28.6,66.3,332,332,332,332,332,5780,3197
4.6,12,17.5,28.6,66.3,333,333,333,333,333,5790,3202
4.65,12,17.5,28.7,66.3,333,333,333,333,333,5800,3208
4.7,12,17.5,28.7,66.4,333,333,333,333,333,5810,3216
4.75,12,17.6,28.7,66.4,334,334,334,334,334,5820,3222
4.8,12,17.6,28.7,66.4,334,334,334,334,334,5820,3221
4.85,12,17.6,28.7,66.5,334,334,334,334,334,5830,3235
4.9,12,17.6,28.7,66.5,335,335,335,335,335,5840,3242
4.95,12,17.6,28.7,66.6,335,335,335,335,335,5850,3241
5,12,17.6,28.7,66.6,335,335,335,335,335,5860,3248
5,12,17.6,28.7,66.6,335,335,335,335,335,5860,3248
