ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
133706,0.420,0.000,0.420,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/sanunits/_clarifier.py:347(<listcomp>)
824792,0.407,0.000,2.821,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/numpy/core/_asarray.py:23(asarray)
2408082,0.402,0.000,0.402,0.000,{built-in method builtins.iter}
2540459,0.381,0.000,0.381,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1712(_ravel_dispatcher)
402470,0.326,0.000,2.926,0.000,{method 'sum' of 'numpy.ndarray' objects}
133756,0.324,0.000,1.356,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/numpy/core/numeric.py:75(zeros_like)
668535,0.305,0.000,2.120,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/sanunits/_suspended_growth_bioreactor.py:184(_dstate_locator)
39093,0.288,0.000,1.442,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/basic.py:1867(_aresame)
802358,0.269,0.000,0.269,0.000,/Users/yalinli_cabbi/OneDrive/Coding/tmo/thermosteam/utils/decorators/thermo_user.py:28(chemicals)
534833,0.264,0.000,0.264,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/_components.py:486(index)
133720,0.246,0.000,3.053,0.000,/Users/yalinli_cabbi/OneDrive/Coding/tmo/thermosteam/_stream.py:670(get_total_flow)
634393/262420,0.244,0.000,0.313,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/basic.py:2001(_preorder_traversal)
324432/324425,0.240,0.000,2.780,0.000,{built-in method builtins.getattr}
134913,0.225,0.000,2.549,0.000,/Users/yalinli_cabbi/OneDrive/Coding/tmo/thermosteam/_stream.py:884(F_vol)
267474,0.224,0.000,0.224,0.000,{method 'reshape' of 'numpy.ndarray' objects}
534847,0.220,0.000,0.220,0.000,/Users/yalinli_cabbi/OneDrive/Coding/bst/biosteam/units/splitting.py:156(split)
133706,0.219,0.000,139.068,0.001,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/scipy/integrate/_ivp/base.py:136(fun)
133706,0.216,0.000,0.216,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/sanunits/_clarifier.py:345(<listcomp>)
668530,0.211,0.000,2.535,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/sanunits/_suspended_growth_bioreactor.py:200(ODE)
402470,0.207,0.000,2.600,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/numpy/core/_methods.py:45(_sum)
267414,0.173,0.000,11.854,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/sanunits/_bst_units.py:176(_dstate_locator)
77775/76778,0.168,0.000,0.534,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/expr.py:143(__eq__)
178296,0.157,0.000,1.137,0.000,<__array_function__ internals>:2(dot)
133706,0.151,0.000,0.151,0.000,/Users/yalinli_cabbi/OneDrive/Coding/bst/biosteam/_system.py:1476(<listcomp>)
133708,0.149,0.000,0.403,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/_waste_stream.py:728(conc)
22287,0.142,0.000,0.305,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/numpy/linalg/linalg.py:2362(norm)
133756,0.140,0.000,0.402,0.000,<__array_function__ internals>:2(empty_like)
133708,0.127,0.000,0.216,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/_waste_stream.py:723(iconc)
133756,0.123,0.000,1.594,0.000,<__array_function__ internals>:2(zeros_like)
22284,0.114,0.000,0.275,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/scipy/integrate/_ivp/rk.py:105(_estimate_error)
133771,0.114,0.000,0.339,0.000,<__array_function__ internals>:2(copyto)
134877,0.111,0.000,1.219,0.000,/Users/yalinli_cabbi/OneDrive/Coding/tmo/thermosteam/_stream.py:1007(V)
133832,0.106,0.000,0.106,0.000,/Users/yalinli_cabbi/OneDrive/Coding/tmo/thermosteam/_stream.py:564(_get_flow_name_and_factor)
134803,0.104,0.000,0.572,0.000,{method 'all' of 'numpy.ndarray' objects}
1,0.104,0.104,143.370,143.370,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/scipy/integrate/_ivp/ivp.py:156(solve_ivp)
134913,0.094,0.000,1.105,0.000,/Users/yalinli_cabbi/OneDrive/Coding/tmo/thermosteam/_stream.py:866(F_mol)
267412,0.091,0.000,0.091,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/sanunits/_bst_units.py:185(ODE)
133708,0.088,0.000,0.089,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/_waste_stream.py:150(by_conc)
22287,0.078,0.000,0.433,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/scipy/integrate/_ivp/common.py:59(norm)
39758,0.074,0.000,0.139,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/numbers.py:1383(__eq__)
20240,0.073,0.000,140.741,0.007,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/scipy/integrate/_ivp/base.py:159(step)
133707,0.072,0.000,0.485,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/sanunits/_bst_units.py:78(_dstate_locator)
22284,0.072,0.000,0.780,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/scipy/integrate/_ivp/rk.py:108(_estimate_error_norm)
287940/287858,0.072,0.000,0.072,0.000,{built-in method builtins.len}
134803,0.069,0.000,0.468,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/numpy/core/_methods.py:59(_all)
77120,0.066,0.000,0.217,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/symbol.py:309(_hashable_content)
239214,0.066,0.000,0.434,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/basic.py:2045(__next__)
124373,0.065,0.000,0.175,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/sympify.py:486(_sympify)
45268/16620,0.064,0.000,1.788,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/cache.py:69(wrapper)
20240,0.064,0.000,0.064,0.000,{method 'searchsorted' of 'numpy.ndarray' objects}
133718,0.064,0.000,0.064,0.000,/Users/yalinli_cabbi/OneDrive/Coding/bst/biosteam/_system.py:967(units)
