ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
157528,0.134,0.000,0.697,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1281(searchsorted)
157528,0.128,0.000,1.084,0.000,<__array_function__ internals>:2(searchsorted)
159991,0.123,0.000,0.123,0.000,{built-in method builtins.min}
669285/668649,0.113,0.000,0.116,0.000,{built-in method builtins.isinstance}
157594,0.110,0.000,0.563,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/numpy/core/fromnumeric.py:52(_wrapfunc)
157541,0.102,0.000,1.633,0.000,<__array_function__ internals>:2(norm)
327567/327561,0.095,0.000,0.112,0.000,{built-in method builtins.getattr}
39758,0.073,0.000,0.141,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/numbers.py:1383(__eq__)
45268/16620,0.071,0.000,1.799,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/cache.py:69(wrapper)
77120,0.069,0.000,0.224,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/symbol.py:309(_hashable_content)
239214,0.066,0.000,0.430,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/basic.py:2045(__next__)
124373,0.065,0.000,0.178,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/sympify.py:486(_sympify)
77120,0.062,0.000,0.062,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/symbol.py:323(<dictcomp>)
239293/239289,0.056,0.000,0.365,0.000,{built-in method builtins.next}
77120,0.055,0.000,0.125,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/symbol.py:321(assumptions0)
133390/133315,0.054,0.000,0.145,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/sympify.py:92(sympify)
315165,0.053,0.000,0.053,0.000,{built-in method builtins.issubclass}
97360,0.049,0.000,0.066,0.000,<frozen importlib._bootstrap>:389(parent)
157541,0.048,0.000,0.067,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/numpy/linalg/linalg.py:112(isComplexType)
8053/1098,0.043,0.000,1.717,0.002,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/basic.py:1029(fallback)
70716,0.032,0.000,0.032,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/basic.py:1997(__init__)
234131,0.031,0.000,0.032,0.000,{built-in method builtins.hasattr}
190611,0.029,0.000,0.029,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/basic.py:712(args)
72594,0.029,0.000,0.547,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/basic.py:362(__ne__)
79729/79666,0.029,0.000,0.058,0.000,{built-in method builtins.sorted}
157541,0.027,0.000,0.027,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/numpy/linalg/linalg.py:2358(_norm_dispatcher)
109391/104951,0.026,0.000,0.030,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/expr.py:125(__hash__)
157528,0.024,0.000,0.024,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1277(_searchsorted_dispatcher)
34358,0.022,0.000,0.055,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/numbers.py:1478(__hash__)
34764,0.020,0.000,0.033,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/numbers.py:807(__hash__)
3290/3029,0.019,0.000,0.038,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/compatibility.py:314(default_sort_key)
10576/1209,0.018,0.000,1.738,0.001,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/basic.py:957(_subs)
3505/155,0.017,0.000,0.304,0.002,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/printing/printer.py:293(_print)
97369,0.017,0.000,0.017,0.000,{method 'rpartition' of 'str' objects}
584,0.017,0.000,0.039,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/facts.py:499(deduce_all_facts)
160137,0.016,0.000,0.016,0.000,{method 'items' of 'dict' objects}
703/694,0.016,0.000,0.137,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/expr.py:1188(as_terms)
123457,0.015,0.000,0.015,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/core.py:71(<lambda>)
3656,0.014,0.000,0.014,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/mul.py:1597(_eval_subs)
6858,0.013,0.000,0.017,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/numbers.py:151(mpf_norm)
9849/90,0.013,0.000,0.021,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/chemicals/utils.py:147(hash_any_primitive)
183,0.010,0.000,1.907,0.010,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/basic.py:764(subs)
40806,0.010,0.000,0.013,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/facts.py:533(<genexpr>)
58116,0.009,0.000,0.009,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/expr.py:134(_hashable_content)
6042,0.008,0.000,0.035,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/printing/precedence.py:118(precedence)
3531/1922,0.008,0.000,0.054,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/compatibility.py:498(ordered)
70716,0.008,0.000,0.008,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/basic.py:2048(__iter__)
5360,0.007,0.000,0.027,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/numbers.py:1191(_new)
1734,0.007,0.000,0.024,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/numbers.py:1416(_Frel)
11732,0.007,0.000,0.011,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/numbers.py:2236(__eq__)
5785/5782,0.007,0.000,0.010,0.000,<frozen importlib._bootstrap>:1017(_handle_fromlist)
1498,0.006,0.000,0.027,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/evalf.py:1425(evalf)
1353/1338,0.006,0.000,0.023,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/numbers.py:1031(__new__)
41332/36216,0.006,0.000,0.013,0.000,{built-in method builtins.hash}
47449,0.006,0.000,0.006,0.000,{method 'get' of 'dict' objects}
703/694,0.006,0.000,0.162,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/expr.py:1134(as_ordered_terms)
14117,0.006,0.000,0.054,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/numbers.py:1413(__ne__)
17050/16497,0.006,0.000,0.018,0.000,{built-in method builtins.all}
1596/1446,0.005,0.000,0.021,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/compatibility.py:476(_nodes)
2605,0.005,0.000,0.005,0.000,{method 'reduce' of 'numpy.ufunc' objects}
6967,0.005,0.000,0.007,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/basic.py:113(__new__)
21626,0.005,0.000,0.007,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/numbers.py:2282(__hash__)
144/139,0.005,0.000,0.050,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/mul.py:178(flatten)
2257/5,0.004,0.000,0.008,0.002,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/utilities/lambdify.py:1214(_imp_namespace)
3156,0.004,0.000,0.034,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/basic.py:906(<listcomp>)
690/140,0.004,0.000,0.300,0.002,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/printing/str.py:48(_print_Add)
10896,0.004,0.000,0.015,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/numbers.py:2243(__ne__)
1498,0.004,0.000,0.042,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/expr.py:1916(as_real_imag)
