	-	-	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	TRACI (obsolete)	TRACI (obsolete)	TRACI (obsolete)	TRACI (obsolete)	TRACI (obsolete)	TRACI (obsolete)	TRACI (obsolete)	TRACI (obsolete)	TRACI (obsolete)
	-	-	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	human health	human health	human health	human health	human health	human health	human health	resources	resources	resources	total	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	human health	human health	human health	human health	human health	human health	human health	resources	resources	resources	total	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	human health	human health	human health	human health	human health	human health	human health	resources	resources	resources	total	environmental impact	environmental impact	environmental impact	environmental impact	environmental impact	environmental impact	human health	human health	human health
	activity name	functional unit	agricultural land occupation	climate change, ecosystems	freshwater ecotoxicity	freshwater eutrophication	marine ecotoxicity	natural land transformation	terrestrial acidification	terrestrial ecotoxicity	total	urban land occupation	climate change, human health	human toxicity	ionising radiation	ozone depletion	particulate matter formation	photochemical oxidant formation	total	fossil depletion	metal depletion	total	total	agricultural land occupation	climate change, ecosystems	freshwater ecotoxicity	freshwater eutrophication	marine ecotoxicity	natural land transformation	terrestrial acidification	terrestrial ecotoxicity	total	urban land occupation	climate change, human health	human toxicity	ionising radiation	ozone depletion	particulate matter formation	photochemical oxidant formation	total	fossil depletion	metal depletion	total	total	agricultural land occupation	climate change, ecosystems	freshwater ecotoxicity	freshwater eutrophication	marine ecotoxicity	natural land transformation	terrestrial acidification	terrestrial ecotoxicity	total	urban land occupation	climate change, human health	human toxicity	ionising radiation	ozone depletion	particulate matter formation	photochemical oxidant formation	total	fossil depletion	metal depletion	total	total	acidification	ecotoxicity	eutrophication	global warming	ozone depletion	photochemical oxidation	carcinogenics	non-carcinogenics	respiratory effects, average
0			points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	moles of .	kg 2,4-D-.	kg N	kg CO2-Eq	kg CFC-11.	kg NOx-Eq	kg benzen.	kg toluen.	kg PM2.5-.
1	market for steel, chromium steel 18/8	kilogram	0.005835289634099068	0.10674465552238924	0.00044092760885989195	9.724003022346026e-05	0.10790688854487387	0.09633249925591549	0.0004737277818027282	0.003700292197820026	0.37801304047733436	0.056481518248988276	0.13429983667156503	0.6042550099101666	5.0774546334004585e-05	4.537417167717659e-06	0.0571838182974681	0.0030240590610805143	0.798818035537881	0.1314561028723356	0.6323026424350586	0.7637587453073942	1.94058980962294	0.00901738075325445	0.07222473056634786	0.0006681447633195755	0.00014910315468139403	0.00014111693690890289	0.001595904775951132	0.0002689293848605085	0.0002489763641469102	0.16704916460637204	0.08273487791405539	0.11426854098722035	0.03419158283569474	0.00010342400728748205	9.242651864424446e-06	0.11816110357359845	0.004916696617042609	0.27165059091106397	0.1314561028723356	0.6323026424350586	0.7637587453073942	1.2024584933561235	0.005245801447307381	0.07886789261783275	0.0006501774137719975	0.00014399943488606538	0.00012462487325989234	0.001290354335928525	6.535495332800032e-05	0.00024221483620214665	0.15505277538973544	0.06842235550220714	0.10484003064084549	0.0033969746390366696	6.060978865885958e-05	2.10951403498496e-06	0.11164460176204521	5.0489196982605635e-09	0.2199443313627426	0.13120170929147495	0.9907159525932501	1.121917661884725	1.4969147683793418	1.2422160152985264	6.770747878155943	0.0008465937334107966	4.103960363267479	1.751242487875209e-07	0.012486669362995275	0.11214045495351571	142.8667892107894	0.015170614097305517
2	market for steel, chromium steel 18/8, hot rolled	kilogram	0.005992830463849358	0.1130737094535512	0.0004491591275481007	0.00010385681637372619	0.11006962636438351	0.09952860120227748	0.0004907787572972896	0.003742659773452241	0.392850660074646	0.05939943640555694	0.14226268020818977	0.6302618198756554	5.479537226340612e-05	4.9530707119696725e-06	0.058569417857554484	0.0030475615403517836	0.8342012275447978	0.14034471384627817	0.6594254243507339	0.7997701381970121	2.0268220137242183	0.009266652648362435	0.07652437799736693	0.000680605026102834	0.0001592490152716832	0.0001435915719097983	0.0017467535926836177	0.0002785030930723405	0.0002542534828979427	0.17606052927496324	0.08700654285460638	0.12107112003617775	0.03535279278074545	0.00011161413043281862	1.0089328987339198e-05	0.1209894357377953	0.004955086108879	0.28249013836096126	0.14034471384627817	0.6594254243507339	0.7997701381970121	1.2583207979328466	0.005388373523332377	0.08360654065243124	0.0006623023157712048	0.0001537980073936423	0.0001269257652780629	0.0014146603508781198	6.766872965235822e-05	0.00024734661017946025	0.1636226604662006	0.0719550445364473	0.11113916861260624	0.003503928517225485	6.571899452664352e-05	2.3031512472192364e-06	0.11434982003013491	5.421938321642203e-09	0.22906094469744392	0.140073124555971	1.005173088956176	1.145246213512147	1.5379298184039247	1.2867540265390467	6.881996297250537	0.0008920159849201115	4.349764088084852	1.9062975603287557e-07	0.013010826148295242	0.11259907797291463	147.3701403243518	0.015505024529368812
