	-	-	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	TRACI (obsolete)	TRACI (obsolete)	TRACI (obsolete)	TRACI (obsolete)	TRACI (obsolete)	TRACI (obsolete)	TRACI (obsolete)	TRACI (obsolete)	TRACI (obsolete)
	-	-	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	human health	human health	human health	human health	human health	human health	human health	resources	resources	resources	total	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	human health	human health	human health	human health	human health	human health	human health	resources	resources	resources	total	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	human health	human health	human health	human health	human health	human health	human health	resources	resources	resources	total	environmental impact	environmental impact	environmental impact	environmental impact	environmental impact	environmental impact	human health	human health	human health
	activity name	functional unit	agricultural land occupation	climate change, ecosystems	freshwater ecotoxicity	freshwater eutrophication	marine ecotoxicity	natural land transformation	terrestrial acidification	terrestrial ecotoxicity	total	urban land occupation	climate change, human health	human toxicity	ionising radiation	ozone depletion	particulate matter formation	photochemical oxidant formation	total	fossil depletion	metal depletion	total	total	agricultural land occupation	climate change, ecosystems	freshwater ecotoxicity	freshwater eutrophication	marine ecotoxicity	natural land transformation	terrestrial acidification	terrestrial ecotoxicity	total	urban land occupation	climate change, human health	human toxicity	ionising radiation	ozone depletion	particulate matter formation	photochemical oxidant formation	total	fossil depletion	metal depletion	total	total	agricultural land occupation	climate change, ecosystems	freshwater ecotoxicity	freshwater eutrophication	marine ecotoxicity	natural land transformation	terrestrial acidification	terrestrial ecotoxicity	total	urban land occupation	climate change, human health	human toxicity	ionising radiation	ozone depletion	particulate matter formation	photochemical oxidant formation	total	fossil depletion	metal depletion	total	total	acidification	ecotoxicity	eutrophication	global warming	ozone depletion	photochemical oxidation	carcinogenics	non-carcinogenics	respiratory effects, average
0			points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	moles of .	kg 2,4-D-.	kg N	kg CO2-Eq	kg CFC-11.	kg NOx-Eq	kg benzen.	kg toluen.	kg PM2.5-.
1	market for inorganic phosphorus fertiliser, as P2O5	kilogram	0.0023240192291808025	0.058258924368469966	3.407999458824329e-05	4.5035565247372656e-05	0.006690400282473065	0.08231876078249067	0.0002371544168397307	0.0007309322055045021	0.21899618286544487	0.06835687608325122	0.07329774762814299	0.19352319228788684	4.439413441234335e-05	6.137880457370489e-06	0.009268724698688093	0.00041862697175744	0.2765588234981918	0.09394627887090433	0.018067180377457748	0.11201345924836208	0.6075684609843917	0.0036118168102094498	0.039316026367675644	5.12633201975687e-05	6.905528006544955e-05	6.856466847999586e-06	0.0031246223302489216	0.00012969351222692836	0.000342977937875892	0.1468378008589166	0.1001854888475161	0.062202861543200975	0.008569245954257445	9.042759060637614e-05	1.2502816916995858e-05	0.019096685234160346	0.0006841732978344797	0.09065589642532428	0.09394627887090433	0.018067180377457748	0.11201345924836208	0.349507152686318	0.002002020837634223	0.041380794679796974	4.987944549332341e-05	6.66914802150824e-05	5.513678058411887e-06	0.002570770778279656	2.951244150352644e-05	0.0003337433939911794	0.12929329097003822	0.08285436422970095	0.05500882124331525	0.01228184406572504	5.92947847505062e-05	2.8544654181664437e-06	0.018096081800326423	1.6815805952049323e-09	0.08544889804648421	0.0937643968479209	0.023954984044095462	0.11771938089201636	0.332461569499408	0.5131069441407972	1.0604644045570233	0.0019459243697738699	2.227938611965729	2.3645856090955036e-07	0.003971747208900564	0.003253328960798327	22.442575375621928	0.0015739747243524024
2	market for organic phosphorus fertiliser, as P2O5	kilogram	0.4645330596104649	0.0726052982962992	0.0006222377725496063	5.85868393532035e-05	0.005067468103050556	0.10540252562268428	0.0010836791287703292	0.6415427090732141	2372.9265301773944	2371.6356146388434	0.0912961410574746	0.1542996192637064	6.440924335713085e-05	3.4614797321556397e-06	0.029358568505228694	0.0023332199610224982	0.2773554192089129	0.05055629915681549	0.013704192700959067	0.06426049185777456	2373.2681460576173	0.785515844705654	0.05847751057113863	0.0009436465941720346	8.983399691667502e-05	2.0482338972090887e-05	0.06528101588321923	0.0005725556200705253	0.973535702126899	3468.9760747282667	3467.091638186865	0.09251854130219277	0.01701777251124398	0.00013119700378208928	7.050938469981029e-06	0.059931792538042886	0.0045360166257460005	0.17414237104705071	0.05055629915681549	0.013704192700959067	0.06426049185777456	3469.214477596643	0.46404316597318096	0.06511537716212712	0.0009182156391664705	8.675886019932312e-05	1.9141961920212224e-05	0.05428314976206531	0.00012143933249290177	0.9473640348868141	2868.818987532214	2867.2870362313247	0.08673930630308233	0.03614633580785164	6.456305350626917e-05	1.6300230183498427e-06	0.05731911018040546	1.9585606091963063e-08	0.18027096503650272	0.05045781743469746	0.013486209819945262	0.06394402725464272	2869.0632025012137	1.9224560827336574	12.079721421066829	0.008230051987470857	2.5138764678414285	1.2699608479644144e-07	0.010543872471639956	0.041171252736755995	64.02252284940079	0.0036794597607960624
3	market group for inorganic phosphorus fertiliser, as P2O5	kilogram	0.002441809329678754	0.0638927723754463	6.201154054836037e-05	6.279434131131493e-05	0.007329732485574447	0.08749089311093883	0.0005103286062183243	0.0009656781900527483	0.23540863972612772	0.07265261981110036	0.08038591698422096	0.21667394662804557	4.7210823296947046e-05	6.759930443933602e-06	0.017628022552779416	0.001109378658832431	0.3158512357010532	0.10684183856560103	0.01923464917597227	0.12607648774157332	0.6773363578164815	0.0037955203324418073	0.04325671991763135	9.361611789232568e-05	9.628556631667269e-05	8.173260281994779e-06	0.0032394236287481303	0.0002967206387553826	0.00037043472312865884	0.15772620588641806	0.10656931171412937	0.06843753069841943	0.010420058882569846	9.616498063447497e-05	1.3769927532803733e-05	0.03654253533606808	0.0018069852687353286	0.11731704484017473	0.10684183856560103	0.01923464917597227	0.12607648774157332	0.40111973361192976	0.0021056731811797394	0.04564304663779563	9.109305129231077e-05	9.298953863282607e-05	6.667280738808375e-06	0.0026643794715234016	7.167624674587122e-05	0.0003604611518593997	0.13917017405109858	0.08813418748456199	0.06067470913187231	0.03532982115998923	6.265335354945866e-05	3.143555364239866e-06	0.034416616006028945	2.3345420283497497e-09	0.13048694524520998	0.10663502270836361	0.025177721778460154	0.13181274448682376	0.40146986278100355	1.188357290273577	1.2142308404489532	0.0037829291027604794	2.4517746467610415	2.6048383315130364e-07	0.004845296193859149	0.0042612348266236316	49.45051625517412	0.004652953191595198
4	inorganic phosphorus, as P2O5 to generic market for organic phosphorus, as P2O5	kilogram	0.002563452274199944	0.0726021346381065	5.17903619080571e-05	6.724285318255833e-05	0.009599254792263172	0.0396908934393448	0.0003722825151371488	0.0008728025979944378	0.1691614135926311	0.04334156022656051	0.0913436003739306	0.2994735914832909	2.4516257890927685e-05	4.245765573598091e-06	0.018857622282803355	0.001260450011094488	0.4109640259972687	0.09596594529736797	0.022919758915423236	0.11888570421279121	0.6990111376075038	0.003941193877664	0.052183342905993337	7.813147809686223e-05	0.00010310682102056502	9.544665746825846e-06	0.0027864770915549076	0.00020777668747388756	0.00026146659365341003	0.12317178316808033	0.06360074305436633	0.08256056274933217	0.013385365192498277	4.993786749435067e-05	8.648542217069603e-06	0.039144344218114205	0.002051771612560498	0.13720063015765083	0.09596594529736797	0.022919758915423236	0.11888570421279121	0.3792581135186006	0.0023065082084728255	0.05520994238451831	7.602499492959603e-05	9.957741327231134e-05	7.835023484256935e-06	0.002260455001586958	4.889784243619081e-05	0.0002544003538356516	0.11286229352533139	0.052598652298558174	0.07339176437650345	0.01856333182702064	3.0300389216355947e-05	1.975839288648169e-06	0.036817263316441445	3.1027347856384906e-09	0.12880463883564777	0.09578006005560272	0.03006699995330416	0.12584706000890689	0.3675139922126547	0.8796070163182101	1.6387629697345627	0.0031612235187095956	2.9633510495047455	1.6255900884516e-07	0.007594087950780225	0.006469258853428838	64.71549764238524	0.003977127632704358
