OBJECTID,Site ID,Company,Corp,Site,State,PADD,Atmos. Crude Dist,Vacuum Dist,Catalytic Cracking,Hydro Cracking,"Thermal Cracking, Visbreaking",Catalytic Recorming,"Alkylates, Isomerization",Desulfurization,Fluid and Delayed Coking,Asphalt and Road Oil,Source,Period,Latitude,Longitude,Link_Imports,x,y
239,506,DELAWARE CITY REFINING CO LLC,PBF ENERGY CO LLC,DELAWARE CITY,Delaware,1,,104.6,86,25,,43,18.5,180.3,54.5,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",39.5877,-75.6313,,-8419240.364,4806212.382
240,507,MOTIVA ENTERPRISES LLC,SAUDI ARAMCO,PORT ARTHUR,Texas,3,,331.8,92.6,115.5,,129.5,79,578.8,178,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.8849,-93.9607,,-10459658.28,3488762.219
241,510,CALCASIEU REFINING CO,TRANSWORLD OIL USA INC,LAKE CHARLES,Louisiana,3,,36,,,,,,,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",30.1324,-93.3201,,-10388342.45,3520578.591
242,512,SOUTH HAMPTON RESOURCES INC,TEXAS OIL & CHEMICAL CO,SILSBEE,Texas,3,,,,,,5.2,4.4,15,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",30.3983,-94.2282,,-10489436.13,3554857.222
243,517,VALERO REFINING NEW ORLEANS LLC,VALERO ENERGY CORP,NORCO,Louisiana,3,,180,100,113,,25,48,195,86,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",30.0024,-90.4232,,-10065864.8,3503854.232
244,523,UNITED REFINING CO,RED APPLE GROUP INC,WARREN,Pennsylvania,1,,40,26,,,14,13,53,,23,EIA-820 Refinery Capacity Report,"As of January 1, 2023",41.8322,-79.128,,-8808491.339,5135874.923
245,525,LAZARUS ENERGY LLC,BLUE DOLPHIN ENERGY CO,NIXON,Texas,3,,,,,,,,,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.2616,-97.7872,,-10885626.65,3408986.981
246,526,PDV MIDWEST REFINING LLC,PDV AMERICA INC,LEMONT,Illinois,2,,77.2,69.5,,,35.8,24.3,229,41.2,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",41.6556,-88.0465,,-9801297.112,5109532.516
247,528,MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,DETROIT,Michigan,2,,90.5,44,,,21.5,8,135,38,32,EIA-820 Refinery Capacity Report,"As of January 1, 2023",42.2837,-83.1585,,-9257161.096,5203571.518
248,530,MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,GARYVILLE,Louisiana,3,,299,150,130,,137,96,622.5,110,33,EIA-820 Refinery Capacity Report,"As of January 1, 2023",30.0601,-90.596,,-10085095.24,3511282.496
249,531,MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,ROBINSON,Illinois,2,,76,54.5,44,,82,35,200.5,31,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",38.9973,-87.7159,,-9764483.868,4721282.536
250,538,HUNT SOUTHLAND REFINING CO,HUNT CONSLD INC,SANDERSVILLE,Mississippi,3,,6.9,,,,,,,,6.1,EIA-820 Refinery Capacity Report,"As of January 1, 2023",31.8149,-89.0092,,-9908457.595,3739035.729
251,550,LUNDAY THAGARD CO,WORLD OIL CO,SOUTH GATE,California,5,,5,,,,,,,,3.8,EIA-820 Refinery Capacity Report,"As of January 1, 2023",33.9464,-118.1666,,-13154250.97,4021603.367
252,2468,SILVER EAGLE REFINING,SILVER EAGLE REFINING INC,EVANSTON,Wyoming,4,,,,,,2.9,,3.9,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",41.2611,-110.8063,,-12334903.23,5050936.691
253,3008,GOODWAY REFINING LLC,GOODWAY REFINING LLC,ATMORE,Alabama,3,,,,,,,,,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",31.072,-87.363,,-9725204.674,3642103.248
254,3109,EXCEL PARALUBES,EXCEL PARALUBES,WESTLAKE,Louisiana,3,,,,43,,,,,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",30.1883,-93.339,,-10390452.07,3527776.445
255,3215,EQUISTAR CHEMICALS LP,ACCESS INDUSTRIES,CHANNELVIEW,Texas,3,,,,,,,22.4,,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.8234,-95.1136,,-10587993.73,3480867.132
256,4998,KINDER MORGAN CRUDE & CONDENSATE,KINDER MORGAN ENERGY PTNRS LP,GALENA PARK,Texas,3,,,,,,,,,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.733,-95.2197,,-10599806.51,3469277.753
257,5037,PETROMAX REFINING CO LLC,PETROMAX REFINING CO LLC,HOUSTON,Texas,3,,,,,,,,,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.7538,-95.1232,,-10589068.52,3471938.376
258,5048,BUCKEYE TEXAS PROCESSING LLC,BUCKEYE PARTNERS LP,CORPUS CHRISTI,Texas,3,,,,,,,,,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",27.8179,-97.5055,,-10854266.17,3226033.855
259,5082,MAGELLAN PROCESSING LP,MAGELLAN MIDSTREAM PARTNERS LP,CORPUS CHRISTI,Texas,3,,,,,,,,,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",27.8069,-97.4391,,-10846871.33,3224654.57
260,5199,HARTREE CHANNELVIEW LLC,HARTREE PARTNERS LP,CHANNELVIEW,Texas,3,,,,,,,,,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.7646,-95.103,,-10586817.53,3473327.114
