OBJECTID,Site ID,Company,Corp,Site,State,PADD,Atmos. Crude Dist,Vacuum Dist,Catalytic Cracking,Hydro Cracking,"Thermal Cracking, Visbreaking",Catalytic Recorming,"Alkylates, Isomerization",Desulfurization,Fluid and Delayed Coking,Asphalt and Road Oil,Source,Period,Latitude,Longitude,Link_Imports,x,y
175,226,TORRANCE REFINING CO LLC,PBF ENERGY CO LLC,TORRANCE,California,5,,102.3,103.6,28.3,,20,30,153.4,62,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",33.8532,-118.3323,,-13172693.27,4009108.437
176,227,EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,JOLIET,Illinois,2,,142.1,99.3,,,52.6,31.5,265.8,57.5,17.1,EIA-820 Refinery Capacity Report,"As of January 1, 2023",41.4147,-88.1833,,-9816521.054,5073705.082
177,228,CHALMETTE REFINING LLC,PBF ENERGY CO LLC,CHALMETTE,Louisiana,3,,169,75.6,,,52.7,16.8,188.6,42,15,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.9352,-89.9744,,-10015903.61,3495216.83
178,237,VALERO REFINING - MERAUX LLC,VALERO ENERGY CORP,MERAUX,Louisiana,3,,56.6,,48.7,,32,,95,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.9338,-89.9412,,-10012208.36,3495044.956
179,238,SUPERIOR REFINING COMPANY LLC,CENOVUS MARKETING (USA) INC,SUPERIOR,Wisconsin,2,,23.5,11.3,,,9.3,1.7,40.5,,16,EIA-820 Refinery Capacity Report,"As of January 1, 2023",46.6906,-92.0673,,-10248886.29,5891712.992
180,244,CALUMET SHREVEPORT REFINING LLC,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",SHREVEPORT,Louisiana,3,,28,,,,12,,52.3,,6.5,EIA-820 Refinery Capacity Report,"As of January 1, 2023",32.4676,-93.7926,,-10440943.58,3824842.975
181,255,WRB REFINING LP,WRB REFINING LP,BORGER,Texas,3,,82,54,,,31.3,60,189.1,28.4,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",35.6932,-101.3656,,-11283966.64,4258486.087
182,256,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,SWEENY,Texas,3,,132.1,111,,,42.1,36.3,378.6,78.7,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.0779,-95.7475,,-10658567.17,3385562.28
183,257,HF SINCLAIR WOODS CROSS REFINING LLC,HF SINCLAIR CORP,WOODS CROSS,Utah,4,,,18.2,15,,8.4,8.3,26.2,,1.8,EIA-820 Refinery Capacity Report,"As of January 1, 2023",40.8866,-111.9048,,-12457187.91,4995626.754
184,262,PLACID REFINING CO,PLACID OIL CO,PORT ALLEN,Louisiana,3,,27,25.5,,,11.5,7.5,57,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",30.4774,-91.2108,,-10153541.04,3565060.854
185,266,ERGON WEST VIRGINIA INC,ERGON INC,NEWELL,West Virginia,1,,8.6,,,,4.7,,24.1,,0.7,EIA-820 Refinery Capacity Report,"As of January 1, 2023",40.6108,-80.6294,,-8975623.64,4955106.954
