t	X_CHL	X_ALG	X_PG	X_TAG	S_CO2	S_A	S_G	S_O2	S_NH	S_NO	S_P	X_N_ALG	X_P_ALG	Q
0.263888889	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.267361111	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.270833333	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.274305556	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.277777778	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.28125	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.284722222	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.288194444	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.291666667	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.295138889	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.298611111	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.302083333	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.305555556	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.309027778	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.3125	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.315972222	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.319444444	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.322916667	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.326388889	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.329861111	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.333333333	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.336805556	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.340277778	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.34375	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.347222222	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.350694444	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.354166667	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.357638889	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.361111111	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.364583333	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.368055556	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.371527778	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.375	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.378472222	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.381944444	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.385416667	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.388888889	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.392361111	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.395833333	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.399305556	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.402777778	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.40625	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.409722222	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.413194444	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.416666667	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.420138889	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.423611111	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.427083333	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.430555556	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.434027778	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.4375	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
