,Ratio,Fuel yields,MFSP,GWP
0,0.1,0.3699298498516555,8.43521133017182,-10.265761455121977
1,0.2,0.3699298498516555,6.29479279727631,-10.265761455121977
2,0.30000000000000004,0.37202543899198076,5.387373881183841,-10.183936988642849
3,0.4,0.3699298498516555,4.891953502386825,-10.265761455121977
4,0.5,0.3727079174713478,4.689241813022698,-8.475883955624251
5,0.6,0.3664426385322983,4.306552372221366,-10.376216597469629
6,0.7000000000000001,0.3718696354835074,4.087971918155417,-9.998723967774595
7,0.8,0.3699298498516555,3.9182566542018966,-10.265761455121977
8,0.9,0.3716967662884164,3.7700504189217776,-10.20047010472213
9,1.0,0.3727079174713478,3.821113334749467,-8.475883955624251
10,2.0,0.3727079174713478,3.168783785120913,-8.475883955624251
11,3.0,0.37290001612473545,2.6864409643282765,-10.159527603613258
12,4.0,0.3727079174713478,2.6648364625121794,-8.475883955624251
13,5.0,0.3726477712177222,2.372497997472907,-10.11062521762489
14,6.0,0.37290001612473545,2.248199173131249,-10.159527603613258
15,7.0,0.3725589815606479,2.1747136944927163,-10.080117542195314
16,8.0,0.3727079174713478,2.261801445769795,-8.475883955624251
17,9.0,0.3727721619762851,2.038577070104395,-10.138589495878806
18,10.0,0.3726477712177222,1.9998105162200301,-10.11062521762489
