,biocrude_yield,fuel_yield,MFSP,GWP
0,0.01,0.004969145305405759,108.03002279682322,-1222.1874049289604
1,0.02,,,
2,0.03,0.015007560788259289,38.52356567333897,-403.88708969026175
3,0.04,0.019876581221623037,30.779054561629113,-293.9060766651647
4,0.05,0.02509958718586902,24.876474258033213,-238.6934861557132
5,0.06,0.030015121576518578,21.044350954936583,-198.97860524836136
6,0.07,0.03477508370019992,18.61934405367997,-170.89040079229784
7,0.08,0.03975316244324607,17.404925269954294,-139.19252195453225
8,0.09,0.04506522170687401,15.041404206816967,-130.60309016656385
9,0.1,0.05019917437173804,14.005572216682962,-116.17447763499864
10,0.11,0.05535076670331908,12.790016792781026,-105.21423140622655
11,0.12,0.060030243153037156,11.99026093131368,-96.52436302741091
12,0.13,0.06525015431937164,11.232830257601544,-88.3704278296082
13,0.14,0.07032028721015349,10.640190302315942,-81.37031173999993
14,0.15,0.07523789675111557,10.090700556098637,-75.84976450393282
15,0.16,0.07988639877124641,9.667318047338494,-70.86731988581435
16,0.17,0.08571556143888574,9.21670748276679,-65.58938934083034
17,0.18,0.09013044341374803,8.827672249885337,-62.36473651339995
18,0.19,0.09585618779785088,8.476838245622353,-58.2988149953075
19,0.2,0.10039834874347608,8.31690003092667,-54.91497337464131
20,0.21,0.10536605944849949,7.92032017117301,-52.133692480679876
21,0.22,0.11070153340663816,7.634161426469657,-49.65625598061235
22,0.23,0.1172715402474739,5.517296959439428e+17,-45.95197941578057
23,0.24,0.12006048630607431,88.43803420596363,-45.29724191693576
24,0.25,0.12540665425178307,6.994223118331824,-43.1055196956929
25,0.26,0.1305003086387433,6.798943760316859,-41.24139697337099
26,0.27,0.1358593162688673,6.62947521694102,-39.30138640903931
27,0.28,0.14064057442030697,6.491982775922206,-37.63931093931084
28,0.29,0.14551725754407782,6.346996343962749,-36.340967618101104
29,0.3,0.15047579350223114,6.182252254245086,-34.9770571438933
30,0.31,0.15556536873612398,6.074077600894511,-33.30532261025934
31,0.32,0.15977279754249282,5.963293717666295,-32.3729505864983
32,0.33,0.16564903160873384,5.802438607686345,-31.24115094647721
33,0.34,0.17143112287777149,5.720792633686226,-29.71286371735825
34,0.35,0.17695013496527293,5.572636404089676,-28.7435790779167
35,0.36,0.18068203316987186,5.481081497781762,-28.162563551384924
36,0.37,0.1850485640826783,54475.66847068715,-25.500071760586785
37,0.38,0.19171237559570176,5.297912282643505,-26.217667111799972
38,0.39,0.19283071728508294,5.27389175152209,-25.961119243684738
39,0.4,0.20079669748695217,5.2497921531341625,-24.285221244461386
40,0.41,0.20605873906788053,5.052104912654735,-23.899515936512127
41,0.42,0.21073211889699897,5.00800707294858,-22.948046245185523
42,0.43,0.21559628722744886,4.917028689554922,-22.586712761492038
43,0.44,0.22140306681327632,4.8377919338883215,-21.877268267804922
44,0.45,0.22522891807887332,4.780547763286744,-21.41881221867788
45,0.46,0.2345430804949478,1.2204317440925106e+25,-19.729278410885826
46,0.47,0.23757692836824637,0.0,-20.09264017045129
47,0.48,0.24012097261214863,4.604170044888439,-19.68368136169391
48,0.49,0.2460321298816293,4.543511910252256,-19.07054562723929
49,0.5,0.25081330850356615,4.486846533528639,-18.58388203109168
50,0.51,0.25634001647860516,4.443117243027933,-17.923247998343474
51,0.52,0.2610006172774866,4.374831236392765,-17.676881545251693
52,0.53,0.2661162406347878,4.331698981803027,-17.183249411262867
53,0.54,0.2717186325377346,4.283988883180059,-16.666379692193196
54,0.55,0.2766153887187863,4.2403312831514866,-16.375803137593465
55,0.56,0.28128114884061395,4.218617468920634,-15.773810538966293
56,0.57,0.28678402218773424,4.152476133481186,-15.501704431965056
57,0.58,0.29103451508815564,4.125887751210549,-15.208240213858941
58,0.59,0.2971849924895479,4.063430280079202,-14.769351360166072
59,0.6,0.2994373832979788,4.045917369056665,-14.619632307203366
60,0.61,0.30446144270291914,4.005231480980941,-14.280407080839074
61,0.62,0.30607339660295535,3.9841527622829656,-14.259305314397311
62,0.63,0.3166318011789595,3.934618272109595,-13.319828905364385
63,0.64,0.3180252995459686,4.648848167757362,-3.8074895438112244
64,0.65,0.32664725921037063,3.982721884154094,-12.56987454980666
65,0.66,0.3312980632174677,3.8238830496480434,-12.623189369696457
66,0.67,0.33678936057083514,3.8081296912037486,-12.246375212862347
67,0.68,0.3414910808864887,3.7798900655247016,-11.925306307188377
68,0.69,0.3458953198893322,3.761530422836203,-11.636168360329327
69,0.7,0.35390026993054585,3.7282141226774597,-11.114872274706316
70,0.71,0.3583323824318743,3.7150893978452375,-10.816769001792192
71,0.72,0.3613640663397437,3.680996818099775,-10.800132078603578
72,0.73,0.36562579027784325,10.35635403336895,-10.178729538991812
73,0.74,0.3700971281653566,27238.891039889455,-8.45180766786598
74,0.75,0.3763521284876261,3.641198246904887,-9.857988059344859
75,0.76,0.3834247511914035,3.6049289264367785,-9.669783065258581
76,0.77,0.38431793026681216,3.6106818749289853,-9.501739865255965
77,0.78,0.3856614345701659,3.6093648273105416,-9.417533357870024
78,0.79,0.3961654751771836,3.560485574218634,-8.986431560942961
79,0.8,0.40159339497390434,3.634939941950005,-8.30991415943417
80,0.81,0.4057342418542173,3.534221878579962,-8.554165509642162
81,0.82,0.41211747813576105,3.5051767581919635,-8.246376012487087
82,0.83,0.41559926140999726,3.498252303741743,-8.153709637235767
83,0.84,0.42146423779399794,3.4994350578894218,-7.558158536766527
84,0.85,0.42359067853433824,3.485257680835972,-7.837598896354664
85,0.86,0.4311925744548977,3.447425560248439,-7.462050553713936
