,biocrude_yield,fuel_yield,MFSP,GWP
0,0.01,0.00501757712938749,1641.7861058812528,1197.3537806163804
1,0.02,,,
2,0.03,0.015023053966631839,542.7759905466693,389.1876491880947
3,0.04,0.02007030851754996,404.0161285391917,287.34496550943766
4,0.05,0.024915765554606444,323.5657049275961,228.12829725557242
5,0.06,0.030046107933263677,266.727955113171,186.56051276295065
6,0.07,0.035054080391471815,227.27710318803972,157.96952857079603
7,0.08,0.04014061703509992,197.22393666881564,135.67423228882143
8,0.09,0.04519268493307196,174.2987919946451,120.31493340058515
9,0.1,0.04983153110921289,156.85297689310693,105.95350770929095
10,0.11,0.05527644086781098,140.52504618347962,94.20867075460254
11,0.12,0.060092215866527354,128.39002971261482,85.24694412995574
12,0.13,0.06589185414123727,116.69184075673544,77.1174343560567
13,0.14,0.07045077375938609,108.07104787820792,70.47764822066199
14,0.15,0.07550270796808553,100.16301949927475,64.84958639318822
15,0.16,0.08042813874977087,93.36731556433095,59.7080989361652
16,0.17,0.08461431919977606,88.12034834794338,55.77302882218028
17,0.18,0.09038536986614391,82.12362017834778,52.95716421565354
18,0.19,0.09492763170797039,77.47980003134265,48.03964169386166
19,0.2,0.09966306221842577,73.22770119668772,44.86611218678218
20,0.21,0.10519808497493296,68.87265683520309,41.806128497541415
21,0.22,0.11055288173562196,65.08775812757352,39.138582781955456
22,0.23,0.11655375606939801,61.77374133391389,38.06595960216506
23,0.24,0.12018443173305471,58.96550922462842,34.590158889870416
24,0.25,0.1253725833519982,56.11529124495379,32.51983151925444
25,0.26,0.13178370828247454,53.19115503723104,30.919334042691908
26,0.27,0.13500178288969392,52.540744127514884,30.17842454887038
27,0.28,0.14090154751877218,48.78414017306505,27.269059583277247
28,0.29,0.14494466991571286,47.76232760820379,35.476873936074135
29,0.3,0.15100541593617106,44.81939658489661,24.532111682154305
30,0.31,0.1558770811511384,43.093685579097354,23.434702116165077
31,0.32,0.16085627749954173,41.38228749375101,21.85967194880871
32,0.33,0.16538709921881894,39.91839081211409,20.793859107195928
33,0.34,0.16922863839955213,38.68231104100126,19.79710198560952
34,0.35,0.17533153861837295,37.03621151468866,18.682543365825502
35,0.36,0.18075175767276486,35.62626232618151,17.679443346361104
36,0.37,0.18500896830158872,34.50093806956917,16.775535325404963
37,0.38,0.18985526341594078,33.3506696948454,15.972281048936761
38,0.39,0.19602829939693,32.06826012296953,15.434576322132147
39,0.4,0.19932612443685155,31.18946405840539,14.322412664092502
40,0.41,0.20236646012885162,30.43080618065971,13.663139650552475
41,0.42,0.21039616994986593,29.032131163358876,12.869492880704055
42,0.43,0.2163417144571341,28.002234067380023,12.233292138518447
43,0.44,0.22110576347124392,27.150365736775907,11.603536809181254
44,0.45,0.2267852089368831,26.220837898667327,10.922470583405794
45,0.46,0.23310751213879602,25.621275655812745,11.949623402478695
46,0.47,0.23583335592109755,24.744481170498,9.801197933479079
47,0.48,0.24036886346610942,24.04029998071768,9.26176402090717
48,0.49,0.2420092288890147,23.636181668699916,8.880929374574892
49,0.5,0.2507451667039964,22.612492806082518,8.239572651449443
50,0.51,0.2586946882870523,21.75094750243056,8.231797440764414
51,0.52,0.2635674165649491,21.2334668935738,7.820281395923039
52,0.53,0.26590295423755467,20.85651586131741,8.33289746312508
53,0.54,0.27000356577938783,21.405166427331245,7.629990079065738
54,0.55,0.27661012370576826,19.497924614145926,6.038833316292895
55,0.56,0.28180309503754436,18.93969228999041,5.664762469588159
56,0.57,0.2864836474030366,18.59646616083895,6.733003788442512
57,0.58,0.28988933983142573,18.74370272513905,14.475212114357833
58,0.59,0.29535960302086,17.494575259602026,4.533933213568641
59,0.6,0.30065674457513925,17.032600552185407,4.504162093827602
60,0.61,0.2971271516249864,16.951930809212534,3.6616238286833616
61,0.62,0.31468972193267386,15.911307573444088,3.650545943212696
62,0.63,0.3163506478202353,15.634921472435815,3.2859150177767096
63,0.64,0.32112493628079936,15.228158380056994,2.981810479771676
64,0.65,0.3215030925525815,15.02491951583297,2.762465882040088
65,0.66,0.3307741984376379,14.454134171535246,2.486172028615108
66,0.67,0.3344566946321081,14.123363077944715,2.2118885254072067
67,0.68,0.3417686345851092,13.71488043641704,2.427736038044073
68,0.69,0.3467058523828576,13.346124353400562,2.035528062226079
69,0.7,0.3506630772367459,13.033338102622071,1.7674161946192293
70,0.71,0.3569615212190864,12.65953231495497,1.6081121084058545
71,0.72,0.3615035153455297,12.353249006226914,1.4433341358556357
72,0.73,0.3674415745739832,12.017015950909265,1.303042334148357
73,0.74,0.37001793660317744,11.779759022274883,1.080862210146958
74,0.75,,,
75,0.76,,,
76,0.77,,,
77,0.78,,,
78,0.79,,,
79,0.8,,,
80,0.81,,,
81,0.82,,,
82,0.83,,,
83,0.84,,,
84,0.85,,,
85,0.86,,,
86,0.87,0.44285661881777666,9.089829188472706,9.608344286682506
87,0.88,0.44221152694248783,8.208283079018576,-0.5458763099164138
88,0.89,0.44666577763237997,8.006785681157519,-0.6291182103967673
