,Ratio,Fuel yields,MFSP,GWP
0,0.1,0.3699298498516555,8.566494990474906,-7.2155471420820465
1,0.2,0.3699298498516555,6.426076103588674,-7.2155471420820465
2,0.30000000000000004,0.37202543899198076,5.521254905837263,-7.110191507962425
3,0.4,0.3699298498516555,5.023244136150359,-7.2155471420820465
4,0.5,0.3727079174713478,4.82403371756646,-5.393549925164498
5,0.6,0.3664426385322983,4.434033417824652,-7.358796935289654
6,0.7000000000000001,0.3718696354835074,4.221695596449278,-6.9262508574019295
7,0.8,0.3699298498516555,4.049530189918791,-7.215720098800079
8,0.9,0.3716967662884164,3.903487501692979,-7.130824724825751
9,1.0,0.3727079174713478,3.9558668114377884,-5.394022805849972
10,2.0,0.3727079174713478,3.303512827837199,-5.394323483103173
11,3.0,0.37290001612473545,2.8212862793180373,-7.077291654212061
12,4.0,0.3727079174713478,2.799541678471301,-5.394620347757296
13,5.0,0.3726477712177222,2.5069579044495187,-7.032139685994318
14,6.0,0.37290001612473545,2.383017671978579,-7.077621646705597
15,7.0,0.3725589815606479,2.3091032725391045,-7.002148098707838
16,8.0,0.3727079174713478,2.396477864843442,-5.39497105217284
17,9.0,0.3727721619762851,2.1732804581341094,-7.057597689188857
18,10.0,0.3726477712177222,2.1342474897497485,-7.032421899737654
