,biocrude_yield,fuel_yield,MFSP,GWP
0,0.01,0.00501757712938749,157.10462931042866,-340.05291277940483
1,0.02,,,
2,0.03,0.015023053966631839,55.099814188518415,-115.82638541630885
3,0.04,0.02007030851754996,42.04728582676223,-87.49985874107553
4,0.05,0.024915765554606444,34.460895683936364,-71.26645446144325
5,0.06,0.030046107933263677,29.0363348570887,-59.596082015798224
6,0.07,0.035054080391471815,25.299220705482117,-51.20571455259759
7,0.08,0.04014061703509992,22.373871345752505,-45.41027757666525
8,0.09,0.04519268493307196,20.357298601216034,-39.11888083983975
9,0.1,0.04983153110921289,18.477290096642765,-37.362183155990536
10,0.11,0.05527644086781098,16.8935030804909,-33.83934336888845
11,0.12,0.060092215866527354,15.690687507567311,-31.480930735965842
12,0.13,0.06589185414123727,14.846303098563652,-28.371095566491885
13,0.14,0.07045077375938609,13.689771993453672,-27.281860055266645
14,0.15,0.07550270796808553,12.912183107069753,-25.526392921444433
15,0.16,0.08042813874977087,12.225122545245496,-24.3424516764819
16,0.17,0.08461431919977606,11.720049709341474,-23.367565620285085
17,0.18,0.09038536986614391,11.282537413427315,-20.426677691325764
18,0.19,0.09492763170797039,10.676912208847568,-21.162799659740095
19,0.2,0.09966306221842577,10.21657562382132,-20.410048252632155
20,0.21,0.10519808497493296,9.762067908074703,-19.430919818827523
21,0.22,0.11055288173562196,9.39712109932529,-18.557049257732874
22,0.23,0.11655375606939801,9.478577019517429,-16.113474606131525
23,0.24,0.12018443173305471,8.762309834814348,-17.423356019637424
24,0.25,0.1253725833519982,8.480604978150588,-16.83396449858537
25,0.26,0.13178370828247454,8.34100058827994,-15.550834067949339
26,0.27,0.13500178288969392,9.215636906586097,-14.712902969583592
27,0.28,0.14090154751877218,7.710038528661781,-15.291207000194332
28,0.29,0.14494466991571286,8.258641956852188,-5.457405337658619
29,0.3,0.15100541593617106,7.308914919217839,-14.338042307527832
30,0.31,0.1558770811511384,7.150446399036756,-13.812607757642747
31,0.32,0.16085627749954173,6.9343427256434005,-13.83927748773824
32,0.33,0.16538709921881894,6.786358790233059,-13.542545104356384
33,0.34,0.16922863839955213,6.666125075799308,-13.384022181105424
34,0.35,0.17533153861837295,6.48556065839202,-12.98086802149725
35,0.36,0.18075175767276486,6.332317335339201,-12.682600598614037
36,0.37,0.18500896830158872,6.213793150017441,-12.544075677969126
37,0.38,0.18985526341594078,6.1098293981874745,-12.263908243006824
38,0.39,0.19602829939693,5.999300967915236,-11.587987998055203
39,0.4,0.19932612443685155,5.860619097337892,-11.933982562388216
40,0.41,0.20236646012885162,5.786662269690248,-11.884491473849089
41,0.42,0.21039616994986593,5.621160513889926,-11.400824633563237
42,0.43,0.2163417144571341,5.519209103257847,-11.076036042914335
43,0.44,0.22110576347124392,5.430181745897897,-10.91590418860574
44,0.45,0.2267852089368831,5.316051317531692,-10.752560124948534
45,0.46,0.23310751213879602,5.547565233556742,-8.864697408275436
46,0.47,0.23583335592109755,5.163780780469401,-10.50285403363056
47,0.48,0.24036886346610942,5.085166313946178,-10.394570910393798
48,0.49,0.2420092288890147,5.063846776890459,-10.37936529224451
49,0.5,0.2507451667039964,4.932772601806708,-10.096043919241012
50,0.51,0.2586946882870523,4.852513698590523,-9.294520694355304
51,0.52,0.2635674165649491,4.881004049233005,-9.140705808764578
52,0.53,0.26590295423755467,4.879158626758389,-8.239922367751594
53,0.54,0.27000356577938783,5.898443502959696,-8.455574989995899
54,0.55,0.27661012370576826,4.584132785836804,-9.432610902868678
55,0.56,0.28180309503754436,4.519176381723541,-9.295883267654917
56,0.57,0.2864836474030366,4.626427638268425,-7.7612072539763055
57,0.58,0.28988933983142573,5.150122427095026,0.37068305100786036
58,0.59,0.29535960302086,4.361181331428432,-9.094033342404716
59,0.6,0.30065674457513925,4.335351701326559,-8.672156204629722
60,0.61,0.2971271516249864,4.310932203292188,-9.4571608967392
61,0.62,0.31468972193267386,4.171549176447154,-8.53398073228098
62,0.63,0.3163506478202353,4.151354838777668,-8.633591107847629
63,0.64,0.32112493628079936,4.1070182814974405,-8.562424298816424
64,0.65,0.3215030925525815,4.1082833609581275,-8.570363926540862
65,0.66,0.3307741984376379,4.029625861507079,-8.336733811339533
66,0.67,0.3344566946321081,3.9976760292517284,-8.30168836977515
67,0.68,0.3417686345851092,3.985969230115303,-7.674812882107179
68,0.69,0.3467058523828576,3.933310077967629,-7.739710804157418
69,0.7,0.3506630772367459,3.902287546076345,-7.7161334358897875
70,0.71,0.3569615212190864,3.8620611988315967,-7.529928480864964
71,0.72,0.3615035153455297,3.836592853399411,-7.403957542060788
72,0.73,0.3674415745739832,3.805536955621465,-7.228178499081107
73,0.74,0.37001793660317744,3.79180019960407,-7.219068915732409
74,0.75,,,
75,0.76,,,
76,0.77,,,
77,0.78,,,
78,0.79,,,
79,0.8,,,
80,0.81,,,
81,0.82,,,
82,0.83,,,
83,0.84,,,
84,0.85,,,
85,0.86,,,
86,0.87,0.44285661881777666,4.222109663663984,4.54056490915439
87,0.88,0.44221152694248783,3.472551630784111,-5.4772217867527475
88,0.89,0.44666577763237997,3.4559803465725287,-5.368894777925369
89,0.9,0.4535704178737662,3.421306085800799,-5.313166440117534
90,0.91,0.4616210997857767,4.129871942305345,4.517271388090221
91,0.92,0.46621502427759204,3.633649677147541,-3.4574103088007266
92,0.93,0.4637251070072704,3.3829449465155284,-5.228737866006064
93,0.94,0.4716667118421951,3.3611630207554968,-5.008830297466177
94,0.95,0.4763141168879473,3.345260987697488,-4.932815963128225
