,Ratio,Fuel yields,MFSP,GWP
0,0.1,0.3699298498516555,16.546396078013373,1.0760113057864213
1,0.2,0.3699298498516555,14.405969384388188,1.0760113057864213
2,0.30000000000000004,0.37202543899198076,13.45616638799904,1.1346620391601934
3,0.4,0.3699298498516555,13.003125160671575,1.0760113057864213
4,0.5,0.3727079174713478,12.744408962535033,2.83620636395591
5,0.6,0.3664426385322983,12.489887057178336,1.0116669170878476
6,0.7000000000000001,0.3718696354835074,12.159933045274077,1.3220571361266844
7,0.8,0.3699298498516555,12.029411215356594,1.0758383490683894
8,0.9,0.3716967662884164,11.845418494916421,1.1213190791006393
9,1.0,0.3727079174713478,11.87624205680518,2.835733483270434
10,2.0,0.3727079174713478,11.223888073320234,2.835432806017237
11,3.0,0.37290001612473545,10.737579579724478,1.14822507544577
12,4.0,0.3727079174713478,10.719916923899474,2.8351359413631103
13,5.0,0.3726477712177222,10.428612084264472,1.1989446932951024
14,6.0,0.37290001612473545,10.299310972530655,1.1478950829522327
15,7.0,0.3725589815606479,10.232646192746424,1.2308980529720015
16,8.0,0.3727079174713478,10.31685311012414,2.834785236947565
17,9.0,0.3727721619762851,10.09229008648264,1.1707404550683709
18,10.0,0.3726477712177222,10.05590166964391,1.1986624795517642
