	-	-	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	TRACI (obsolete)
	-	-	ecosystem quality	human health	resources	ecosystem quality	human health	resources	ecosystem quality	human health	resources	environmental impact
	activity name	functional unit	total	total	total	total	total	total	total	total	total	global warming
0			points	points	points	points	points	points	points	points	points	kg CO2-Eq
1	market group for electricity, high voltage	kilowatt hour	0.026909158297603764	0.09294694444124064	0.031201288096289956	0.01773476060014491	0.028893271006073692	0.031201288096289956	0.016766543590947036	0.02257063446000717	0.030925605727410366	0.6941260598511272
2	market group for electricity, medium voltage	kilowatt hour	0.02787430854839644	0.09612042524333238	0.03201867851611653	0.01838070560343713	0.029689987413326888	0.03201867851611653	0.01734155750665697	0.02315361184818768	0.03181887581692827	0.7135071108737387
3	market group for electricity, low voltage	kilowatt hour	0.032029101009908835	0.11116290914457977	0.03636364489165268	0.021210161296866	0.03336943041864836	0.03636364489165268	0.019939781054771948	0.025936282668112938	0.036482781907100144	0.7986481264078477
4	electricity production, hydro, run-of-river	kilowatt hour	0.0002745216846334622	0.0005165755553374043	0.0003215959983702848	0.00012232891130611138	0.000238933217316097	0.0003215959983702848	0.0001138249911618485	0.00020695766802701423	0.0002836235006236702	0.00406236797960627
5	electricity, high voltage, hydro, import from PY	kilowatt hour	0.002672898378495537	0.0018784200291785892	0.00032638335715584686	0.002190926202512063	0.0019168492920963386	0.00032638335715584686	0.0030686585082000477	0.0030215121931598645	0.0003233602679905183	0.037242651106572947
6	electricity production, hydro, reservoir, tropical region	kilowatt hour	0.0026727348317005773	0.0018783910863285343	0.0003264083408138769	0.0021907103943036845	0.0019168128799728133	0.0003264083408138769	0.003068482320139919	0.0030214958610139996	0.00032338519421388275	0.037240311408781764
7	electricity production, hydro, reservoir, alpine region	kilowatt hour	0.002950421914668458	0.0006857300492199116	0.00030579311867129095	0.0002615057799059109	0.00027988915481725175	0.00030579311867129095	0.0002452451897798017	0.0002429824802393431	0.000303846476990481	0.005911967372919565
8	electricity, high voltage, hydro, import from UY	kilowatt hour	0.026616653166215608	0.00204613368795469	0.00032640915067908005	0.001329925545561606	0.0014949800942543787	0.00032640915067908005	0.0013922311448338529	0.001445088815974633	0.0003233855278798203	0.010657696945850214
9	electricity, high voltage, hydro, reservoir, import from France	kilowatt hour	0.0029504219146684585	0.0006857300492199116	0.00030579311867129095	0.0002615057799059109	0.00027988915481725175	0.00030579311867129095	0.00024524518977980174	0.0002429824802393431	0.000303846476990481	0.005911967372919565
10	electricity, high voltage, hydro, run-of-river, import from France	kilowatt hour	0.00027740010216877704	0.0005214759884077537	0.0003091669301977759	0.000139895323114639	0.00022958026060270758	0.0003091669301977759	0.00012815234689317063	0.00019489520822600794	0.0002709658165216619	0.003848201143645662
11	electricity production, hydro, reservoir, non-alpine region	kilowatt hour	0.20393756591575204	0.0020459543218610578	0.0003264083408138769	0.004039881113730883	0.0014948389532794257	0.0003264083408138769	0.0036156616021141056	0.001444974289919949	0.00032338519421388275	0.010652532007911568
12	electricity production, hydro, aluminium industry	kilowatt hour	0.1387398287870289	0.0007988868094177022	0.00024005241119974167	0.0024358414524919144	0.00037647239595888464	0.00024005241119974167	0.0020274905771460114	0.000320291568999538	0.00023336126100193634	0.004128498336754204
13	electricity, high voltage, hydro, import from CA-ON	kilowatt hour	0.022665284963552388	0.0018165475587408888	0.00032568649914637793	0.0011487105279154681	0.0013064531299488162	0.00032568649914637793	0.0012003972170573514	0.0012592718323204445	0.00031742094957597797	0.00966400768185552
14	electricity, high voltage, hydro, import from CA-NF	kilowatt hour	0.02661659538192002	0.0020459543218610578	0.0003264083408138769	0.0013298366573936925	0.0014948389532794253	0.0003264083408138769	0.0013921452170744678	0.001444974289919949	0.00032338519421388275	0.010652532007911565
15	electricity production, hydro, run-of-river, label-certified	kilowatt hour	0.00023428764893466608	0.0004178257257217722	0.0002853344765437288	0.00010476303268785556	0.0002025079079928187	0.0002853344765437288	9.705454571170115e-05	0.00017582047421648773	0.00024758684119169724	0.0032968502701305144
16	electricity production, hydro, reservoir, alpine region, label-certified	kilowatt hour	0.0029352693489753416	0.0006621227585519877	0.000295216787133911	0.00025401649957110093	0.00027056243042313503	0.000295216787133911	0.00023846223614296043	0.00023538343145823465	0.00029333794027742554	0.005721095767109871
