	-	-	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	TRACI (obsolete)	TRACI (obsolete)	TRACI (obsolete)	TRACI (obsolete)	TRACI (obsolete)	TRACI (obsolete)	TRACI (obsolete)	TRACI (obsolete)	TRACI (obsolete)
	-	-	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	human health	human health	human health	human health	human health	human health	human health	resources	resources	resources	total	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	human health	human health	human health	human health	human health	human health	human health	resources	resources	resources	total	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	ecosystem quality	human health	human health	human health	human health	human health	human health	human health	resources	resources	resources	total	environmental impact	environmental impact	environmental impact	environmental impact	environmental impact	environmental impact	human health	human health	human health
	activity name	functional unit	agricultural land occupation	climate change, ecosystems	freshwater ecotoxicity	freshwater eutrophication	marine ecotoxicity	natural land transformation	terrestrial acidification	terrestrial ecotoxicity	total	urban land occupation	climate change, human health	human toxicity	ionising radiation	ozone depletion	particulate matter formation	photochemical oxidant formation	total	fossil depletion	metal depletion	total	total	agricultural land occupation	climate change, ecosystems	freshwater ecotoxicity	freshwater eutrophication	marine ecotoxicity	natural land transformation	terrestrial acidification	terrestrial ecotoxicity	total	urban land occupation	climate change, human health	human toxicity	ionising radiation	ozone depletion	particulate matter formation	photochemical oxidant formation	total	fossil depletion	metal depletion	total	total	agricultural land occupation	climate change, ecosystems	freshwater ecotoxicity	freshwater eutrophication	marine ecotoxicity	natural land transformation	terrestrial acidification	terrestrial ecotoxicity	total	urban land occupation	climate change, human health	human toxicity	ionising radiation	ozone depletion	particulate matter formation	photochemical oxidant formation	total	fossil depletion	metal depletion	total	total	acidification	ecotoxicity	eutrophication	global warming	ozone depletion	photochemical oxidation	carcinogenics	non-carcinogenics	respiratory effects, average
0			points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	points	moles of .	kg 2,4-D-.	kg N	kg CO2-Eq	kg CFC-11.	kg NOx-Eq	kg benzen.	kg toluen.	kg PM2.5-.
1	transport, freight, lorry, all sizes, EURO3 to generic market for transport, freight, lorry, unspecified	ton kilometer	2.813580981514223e-05	0.003740572359535334	6.422385566470072e-07	7.372036499913962e-07	0.00021094739183478666	0.0026631943895967553	1.77201810244923e-05	0.00019498008291304124	0.007460535830410297	0.0006036061768407028	0.00470616838534444	0.00629585176799527	1.5868986084987983e-06	6.322941282605385e-07	0.0009411829196770677	7.4529582736575375e-06	0.011952875198113729	0.006320843261251135	0.001156590307955431	0.007477433569206566	0.026890844347539876	4.3572972142791406e-05	0.002444917772504056	8.074420617084376e-07	1.1303922984021137e-06	3.144292428157194e-07	0.00020380581295451598	9.188250686820868e-06	2.364426580194145e-05	0.0036261674905494275	0.0008987861533354853	0.0038681651625180388	0.0005657802835303197	3.2324065155884175e-06	1.2879693417833414e-06	0.0019151846748927616	1.2292470294248335e-05	0.006365942930327012	0.006320843261251135	0.001156590307955431	0.007477433569206566	0.017469543779965888	2.6849967837592337e-05	0.0024634207116225756	7.841938492156451e-07	1.0916996293154136e-06	1.860313858646946e-07	0.00016630094280478634	2.124648711970825e-06	2.30080719208223e-05	0.003427075788626655	0.0007433095204587783	0.0032746501708166573	0.00028499632031723875	6.161943909038514e-07	2.9365900549175153e-07	0.0018375476158915805	3.609206081533166e-10	0.005398104343660588	0.006308325218025125	0.000717141915271296	0.007025467133296421	0.01585064720232368	0.047288015496551566	0.061851218401330635	7.934556347757316e-05	0.13965662519863767	2.454506445450203e-08	0.0009416718935269154	0.0001063745924309547	8.596003845852469	0.00015888229447759284
2	transport, freight, lorry, all sizes, EURO6 to generic market for transport, freight, lorry, unspecified	ton kilometer	2.7805518220302186e-05	0.0035918136650011897	6.330434257717773e-07	7.269631253461099e-07	0.00020832017698516585	0.0026476421248593624	7.206319687419762e-06	0.00019347764807523568	0.00727696860545523	0.0005993431494076253	0.004519008910228299	0.006185700026191276	1.5475984063699966e-06	6.147788477529898e-07	0.0005009139054948272	7.077259082349676e-06	0.011214862474422306	0.00615401799128795	0.0011440671132817092	0.007298085104569659	0.02578991594144834	4.306301035912621e-05	0.002358605353504296	7.949032427533717e-07	1.1146899774455402e-06	3.107000686616081e-07	0.00019844124135221924	4.034928651800648e-06	2.3256357777454265e-05	0.003522144328212377	0.000892523143755417	0.003731608138555422	0.0005163363257480646	3.1523545860872036e-06	1.25229109610404e-06	0.0010215044194985942	1.1567768354789749e-05	0.005285421288960689	0.00615401799128795	0.0011440671132817092	0.007298085104569659	0.016105650491174343	2.6537796109515618e-05	0.002376697742672999	7.720352446459519e-07	1.07653478794765e-06	1.8333053599068116e-07	0.0001618859094872809	9.744043495499255e-07	2.263059829421576e-05	0.003328888303408641	0.0007381299515209122	0.0031593684845098737	0.00024030444056545255	6.057468313985248e-07	2.855251731164902e-07	0.0009779747926262408	1.1826386752498106e-10	0.004378539109208686	0.006141830870875533	0.0007093387073939665	0.0068511695782695	0.014558596976355165	0.01863467025566175	0.06122102662186322	4.6867472805172194e-05	0.13463953007223803	2.3864488739355817e-08	0.00022344631205569934	0.00010494007161450067	8.5391506619138	0.00010903980920428356
3	transport, freight, lorry, all sizes, EURO4 to generic market for transport, freight, lorry, unspecified	ton kilometer	2.6301738739959272e-05	0.0035298465659742858	6.073118828233396e-07	6.934047676510207e-07	0.0002007940655765299	0.0026104414102782604	1.228351206423532e-05	0.00019090056561312668	0.007152324899909767	0.000580456328332695	0.004441045592368276	0.005966732721333752	1.5034309810777146e-06	5.984928476022979e-07	0.0006954687225998916	6.790347492658582e-06	0.011112139292585282	0.005978552729211252	0.0010762791932415038	0.007054831922452756	0.025319295879056625	4.074250532313235e-05	0.002309798973224199	7.581909053120998e-07	1.0632332174550697e-06	3.018874207599439e-07	0.00019314374258376987	6.500403262806574e-06	2.2935514095211805e-05	0.003440041693191592	0.0008647972436293999	0.0036543903523500562	0.0005044792543921089	3.06238852173065e-06	1.2191168750930875e-06	0.0014161014118240854	1.1155348019864779e-05	0.005590407849026379	0.005978552729211252	0.0010762791932415038	0.007054831922452756	0.01608528125346883	2.50816205985748e-05	0.002326322581832294	7.363490737903248e-07	1.0268393649314056e-06	1.7702365261518967e-07	0.0001575301380042607	1.5213326010681317e-06	2.231841137751157e-05	0.0032499148082412894	0.0007152005113356581	0.0030924042159948795	0.00023713526262999335	5.848710996058465e-07	2.779593201157534e-07	0.001357819902545854	2.3446132878901096e-10	0.004688222458132535	0.005966712343889591	0.000668079376361876	0.006634791720251467	0.014572928948284769	0.03251648608104262	0.059755966170012394	6.156968190575053e-05	0.13193681077418504	2.3233715469198145e-08	0.0005792787243340416	0.0001010009253988898	8.42757929429444	0.00012456523752434775
4	transport, freight, lorry, all sizes, EURO5 to generic market for transport, freight, lorry, unspecified	ton kilometer	2.5757879874479263e-05	0.0034897495676238567	5.97242600677643e-07	6.808030318873055e-07	0.0001977997981978634	0.002596800514086612	9.814738059012533e-06	0.00018954816156808454	0.007084500425433015	0.0005737517236963815	0.004390597916533203	0.00587759542854563	1.4823338687091724e-06	5.90166250974166e-07	0.000600016430518613	6.5738387075888145e-06	0.010876856104489175	0.005892693697840359	0.001052078091555075	0.006944771789395434	0.02490612808604016	3.990333655610929e-05	0.002291726831249436	7.441381409043045e-07	1.0439103269280574e-06	2.982157579489661e-07	0.00019049736757535278	5.285519643511447e-06	2.2767290046340347e-05	0.003407228389288441	0.0008549617804591282	0.0036257979666994497	0.0004989408893013795	3.0194151150765156e-06	1.2021557811492676e-06	0.001222255522802141	1.0777744422345836e-05	0.005361993677625905	0.005892693697840359	0.001052078091555075	0.006944771789395434	0.015713993642478306	2.455622546913675e-05	0.0023068784875975904	7.226943134927762e-07	1.0081778860460398e-06	1.7449687140360573e-07	0.0001553526480418281	1.2494647103564363e-06	2.2154720947778383e-05	0.0032191634560721017	0.0007070665398365152	0.003066556967012943	0.00023514967968270092	5.763637868244646e-07	2.7409163552177456e-07	0.0011714606695385705	1.8022776330428564e-10	0.0044740179591188315	0.005881023200165816	0.0006533247155021241	0.00653434791566794	0.014227529304319876	0.02579747666007496	0.05911590464756667	5.3789287947349154e-05	0.1309116657475344	2.291083955658682e-08	0.0004151263369933795	9.942558330346493e-05	8.369097576897879	0.00011576092293740589
