	-	-	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (E,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (H,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	ReCiPe Endpoint (I,A) (obsolete)	TRACI (obsolete)
	-	-	ecosystem quality	human health	resources	ecosystem quality	human health	resources	ecosystem quality	human health	resources	environmental impact
	activity name	functional unit	total	total	total	total	total	total	total	total	total	global warming
0			points	points	points	points	points	points	points	points	points	kg CO2-Eq
1	market for inorganic nitrogen fertiliser, as N	kilogram	0.44599861174070204	0.6759091941470536	0.3091360319178835	0.3434804165330878	0.24624318261595715	0.3091360319178835	0.3065842208942242	0.22324971705589508	0.3239746581007867	6.143189016956029
2	market for organic nitrogen fertiliser, as N	kilogram	6656.592151666704	0.4160416399461381	0.10339988478007399	9731.29525637232	0.24662439439085998	0.10339988478007399	8047.592894330354	0.2635546527650787	0.10279744702553256	4.232442965491879
3	inorganic nitrogen fertiliser, as N to generic market for organic nitrogen fertiliser, as N	kilogram	0.3416434122368346	0.8480384095709511	0.2729747100242669	0.24613421703394514	0.2639737184010817	0.2729747100242669	0.22888151205778356	0.2233610693421147	0.28783407098041003	6.2677265221581
4	market group for inorganic nitrogen fertiliser, as N	kilogram	0.32507567119532227	0.5260826556574583	0.26254657571759765	0.2656597210018883	0.18297131640559125	0.26254657571759765	0.23803063280958917	0.1590183750017457	0.27634457140214963	4.606486582562416
