t	X_CHL	X_ALG	X_CH	X_LI	S_CO2	S_A	S_F	S_O2	S_NH	S_NO	S_P	X_N_ALG	X_P_ALG	Q
0.000	0	0	0	0	30	5	5	5	19.74	7.79	0.11	0	0	402.39
0.003	0	0	0	0	30	5	5	5	19.74	7.79	0.11	0	0	402.39
0.007	0	0	0	0	30	5	5	5	19.75	7.79	0.11	0	0	402.39
0.010	0	0	0	0	30	5	5	5	19.76	7.79	0.11	0	0	402.39
0.014	0	0	0	0	30	5	5	5	19.76	7.79	0.11	0	0	402.39
0.017	0	0	0	0	30	5	5	5	19.77	7.79	0.11	0	0	402.39
0.021	0	0	0	0	30	5	5	5	19.78	7.79	0.11	0	0	402.39
0.024	0	0	0	0	30	5	5	5	19.79	7.79	0.11	0	0	402.39
0.028	0	0	0	0	30	5	5	5	19.79	7.79	0.11	0	0	402.39
0.031	0	0	0	0	30	5	5	5	19.80	7.79	0.11	0	0	402.39
0.035	0	0	0	0	30	5	5	5	19.81	7.79	0.11	0	0	402.39
0.038	0	0	0	0	30	5	5	5	19.82	7.79	0.11	0	0	402.39
0.042	0	0	0	0	30	5	5	5	19.82	7.79	0.11	0	0	402.39
0.045	0	0	0	0	30	5	5	5	19.83	7.79	0.11	0	0	402.39
0.049	0	0	0	0	30	5	5	5	19.84	7.79	0.11	0	0	402.39
0.052	0	0	0	0	30	5	5	5	19.84	7.79	0.11	0	0	402.39
0.056	0	0	0	0	30	5	5	5	19.85	7.79	0.11	0	0	402.39
0.059	0	0	0	0	30	5	5	5	19.86	7.79	0.11	0	0	402.39
0.063	0	0	0	0	30	5	5	5	19.87	7.79	0.11	0	0	402.39
0.066	0	0	0	0	30	5	5	5	19.87	7.79	0.11	0	0	402.39
0.069	0	0	0	0	30	5	5	5	19.88	7.79	0.11	0	0	402.39
0.073	0	0	0	0	30	5	5	5	19.89	7.79	0.11	0	0	402.39
0.076	0	0	0	0	30	5	5	5	19.89	7.79	0.11	0	0	402.39
0.080	0	0	0	0	30	5	5	5	19.90	7.79	0.11	0	0	402.39
0.083	0	0	0	0	30	5	5	5	19.91	7.79	0.11	0	0	402.39
0.087	0	0	0	0	30	5	5	5	19.92	7.79	0.11	0	0	402.39
0.090	0	0	0	0	30	5	5	5	19.92	7.79	0.11	0	0	402.39
0.094	0	0	0	0	30	5	5	5	19.93	7.79	0.11	0	0	402.39
0.097	0	0	0	0	30	5	5	5	19.94	7.79	0.11	0	0	402.39
0.101	0	0	0	0	30	5	5	5	19.95	7.79	0.11	0	0	402.39
0.104	0	0	0	0	30	5	5	5	19.95	7.79	0.11	0	0	402.39
0.108	0	0	0	0	30	5	5	5	19.96	7.79	0.11	0	0	402.39
0.111	0	0	0	0	30	5	5	5	19.97	7.79	0.11	0	0	402.39
0.115	0	0	0	0	30	5	5	5	19.97	7.79	0.11	0	0	402.39
0.118	0	0	0	0	30	5	5	5	19.98	7.79	0.11	0	0	402.39
0.122	0	0	0	0	30	5	5	5	19.99	7.79	0.11	0	0	402.39
0.125	0	0	0	0	30	5	5	5	20.00	7.79	0.11	0	0	402.39
0.128	0	0	0	0	30	5	5	5	20.00	7.79	0.11	0	0	402.39
0.132	0	0	0	0	30	5	5	5	20.01	7.79	0.11	0	0	402.39
0.135	0	0	0	0	30	5	5	5	20.02	7.79	0.11	0	0	402.39
0.139	0	0	0	0	30	5	5	5	20.02	7.79	0.11	0	0	402.39
0.142	0	0	0	0	30	5	5	5	20.03	7.79	0.11	0	0	402.39
0.146	0	0	0	0	30	5	5	5	20.04	7.79	0.11	0	0	402.39
0.149	0	0	0	0	30	5	5	5	20.05	7.79	0.11	0	0	402.39
0.153	0	0	0	0	30	5	5	5	20.05	7.79	0.11	0	0	402.39
0.156	0	0	0	0	30	5	5	5	20.06	7.79	0.11	0	0	402.39
0.160	0	0	0	0	30	5	5	5	20.07	7.79	0.11	0	0	402.39
0.163	0	0	0	0	30	5	5	5	20.07	7.79	0.11	0	0	402.39
0.167	0	0	0	0	30	5	5	5	20.08	7.79	0.11	0	0	402.39
0.170	0	0	0	0	30	5	5	5	20.09	7.79	0.11	0	0	402.39
0.174	0	0	0	0	30	5	5	5	20.09	7.79	0.11	0	0	402.39
0.177	0	0	0	0	30	5	5	5	20.10	7.79	0.11	0	0	402.39
0.181	0	0	0	0	30	5	5	5	20.11	7.79	0.11	0	0	402.39
0.184	0	0	0	0	30	5	5	5	20.12	7.79	0.11	0	0	402.39
0.188	0	0	0	0	30	5	5	5	20.12	7.79	0.11	0	0	402.39
0.191	0	0	0	0	30	5	5	5	20.13	7.79	0.11	0	0	402.39
0.194	0	0	0	0	30	5	5	5	20.14	7.79	0.11	0	0	402.39
0.198	0	0	0	0	30	5	5	5	20.14	7.79	0.11	0	0	402.39
0.201	0	0	0	0	30	5	5	5	20.15	7.79	0.11	0	0	402.39
0.205	0	0	0	0	30	5	5	5	20.16	7.79	0.11	0	0	402.39
0.208	0	0	0	0	30	5	5	5	20.16	7.79	0.11	0	0	402.39
0.212	0	0	0	0	30	5	5	5	20.17	7.79	0.11	0	0	402.39
0.215	0	0	0	0	30	5	5	5	20.18	7.79	0.11	0	0	402.39
0.219	0	0	0	0	30	5	5	5	20.18	7.79	0.11	0	0	402.39
0.222	0	0	0	0	30	5	5	5	20.19	7.79	0.11	0	0	402.39
0.226	0	0	0	0	30	5	5	5	20.20	7.79	0.11	0	0	402.39
0.229	0	0	0	0	30	5	5	5	20.20	7.79	0.11	0	0	402.39
0.233	0	0	0	0	30	5	5	5	20.21	7.79	0.11	0	0	402.39
0.236	0	0	0	0	30	5	5	5	20.22	7.79	0.11	0	0	402.39
0.240	0	0	0	0	30	5	5	5	20.22	7.79	0.11	0	0	402.39
0.243	0	0	0	0	30	5	5	5	20.23	7.79	0.11	0	0	402.39
0.247	0	0	0	0	30	5	5	5	20.24	7.79	0.11	0	0	402.39
0.250	0	0	0	0	30	5	5	5	20.24	7.79	0.11	0	0	402.39
0.253	0	0	0	0	30	5	5	5	20.25	7.79	0.11	0	0	402.39
0.257	0	0	0	0	30	5	5	5	20.26	7.79	0.11	0	0	402.39
0.260	0	0	0	0	30	5	5	5	20.26	7.79	0.11	0	0	402.39
0.264	0	0	0	0	30	5	5	5	20.27	7.79	0.11	0	0	402.39
0.267	0	0	0	0	30	5	5	5	20.27	7.79	0.11	0	0	402.39
0.271	0	0	0	0	30	5	5	5	20.28	7.79	0.11	0	0	402.39
0.274	0	0	0	0	30	5	5	5	20.29	7.79	0.11	0	0	402.39
0.278	0	0	0	0	30	5	5	5	20.29	7.79	0.11	0	0	402.39
0.281	0	0	0	0	30	5	5	5	20.30	7.79	0.11	0	0	402.39
0.285	0	0	0	0	30	5	5	5	20.30	7.79	0.11	0	0	402.39
0.288	0	0	0	0	30	5	5	5	20.31	7.79	0.11	0	0	402.39
0.292	0	0	0	0	30	5	5	5	20.32	7.79	0.11	0	0	402.39
0.295	0	0	0	0	30	5	5	5	20.32	7.79	0.11	0	0	402.39
0.299	0	0	0	0	30	5	5	5	20.33	7.79	0.11	0	0	402.39
0.302	0	0	0	0	30	5	5	5	20.33	7.79	0.11	0	0	402.39
0.306	0	0	0	0	30	5	5	5	20.34	7.79	0.11	0	0	402.39
0.309	0	0	0	0	30	5	5	5	20.35	7.79	0.11	0	0	402.39
0.313	0	0	0	0	30	5	5	5	20.35	7.79	0.11	0	0	402.39
0.316	0	0	0	0	30	5	5	5	20.36	7.79	0.11	0	0	402.39
0.319	0	0	0	0	30	5	5	5	20.36	7.79	0.11	0	0	402.39
0.323	0	0	0	0	30	5	5	5	20.37	7.79	0.11	0	0	402.39
0.326	0	0	0	0	30	5	5	5	20.37	7.79	0.11	0	0	402.39
0.330	0	0	0	0	30	5	5	5	20.38	7.79	0.11	0	0	402.39
0.333	0	0	0	0	30	5	5	5	20.39	7.79	0.11	0	0	402.39
0.337	0	0	0	0	30	5	5	5	20.39	7.79	0.11	0	0	402.39
0.340	0	0	0	0	30	5	5	5	20.40	7.79	0.11	0	0	402.39
0.344	0	0	0	0	30	5	5	5	20.40	7.79	0.10	0	0	402.39
0.347	0	0	0	0	30	5	5	5	20.41	7.79	0.10	0	0	402.39
0.351	0	0	0	0	30	5	5	5	20.41	7.79	0.10	0	0	402.39
0.354	0	0	0	0	30	5	5	5	20.42	7.79	0.10	0	0	402.39
0.358	0	0	0	0	30	5	5	5	20.42	7.79	0.10	0	0	402.39
0.361	0	0	0	0	30	5	5	5	20.43	7.79	0.10	0	0	402.39
0.365	0	0	0	0	30	5	5	5	20.43	7.79	0.10	0	0	402.39
0.368	0	0	0	0	30	5	5	5	20.44	7.79	0.10	0	0	402.39
0.372	0	0	0	0	30	5	5	5	20.44	7.79	0.10	0	0	402.39
0.375	0	0	0	0	30	5	5	5	20.45	7.79	0.10	0	0	402.39
0.378	0	0	0	0	30	5	5	5	20.45	7.79	0.10	0	0	402.39
0.382	0	0	0	0	30	5	5	5	20.46	7.79	0.10	0	0	402.39
0.385	0	0	0	0	30	5	5	5	20.46	7.79	0.10	0	0	402.39
0.389	0	0	0	0	30	5	5	5	20.47	7.79	0.10	0	0	402.39
0.392	0	0	0	0	30	5	5	5	20.47	7.79	0.10	0	0	402.39
0.396	0	0	0	0	30	5	5	5	20.48	7.79	0.10	0	0	402.39
0.399	0	0	0	0	30	5	5	5	20.48	7.79	0.10	0	0	402.39
0.403	0	0	0	0	30	5	5	5	20.48	7.79	0.10	0	0	402.39
0.406	0	0	0	0	30	5	5	5	20.49	7.79	0.10	0	0	402.39
0.410	0	0	0	0	30	5	5	5	20.49	7.79	0.10	0	0	402.39
0.413	0	0	0	0	30	5	5	5	20.50	7.79	0.10	0	0	402.39
0.417	0	0	0	0	30	5	5	5	20.50	7.79	0.10	0	0	402.39
0.420	0	0	0	0	30	5	5	5	20.51	7.79	0.10	0	0	402.39
0.424	0	0	0	0	30	5	5	5	20.51	7.79	0.10	0	0	402.39
0.427	0	0	0	0	30	5	5	5	20.51	7.79	0.10	0	0	402.39
0.431	0	0	0	0	30	5	5	5	20.52	7.79	0.10	0	0	402.39
0.434	0	0	0	0	30	5	5	5	20.52	7.79	0.10	0	0	402.39
0.438	0	0	0	0	30	5	5	5	20.53	7.79	0.10	0	0	402.39
0.441	0	0	0	0	30	5	5	5	20.53	7.79	0.10	0	0	402.39
0.444	0	0	0	0	30	5	5	5	20.53	7.79	0.10	0	0	402.39
0.448	0	0	0	0	30	5	5	5	20.54	7.79	0.10	0	0	402.39
0.451	0	0	0	0	30	5	5	5	20.54	7.79	0.10	0	0	402.39
0.455	0	0	0	0	30	5	5	5	20.54	7.79	0.10	0	0	402.39
0.458	0	0	0	0	30	5	5	5	20.55	7.79	0.10	0	0	402.39
